open_time,open,high,low,close,volume,turnover
2026-01-01 19:50:00,88388.5,88436.2,88378.7,88401.1,22.701675,2007093.1471097
2026-01-01 19:55:00,88401.1,88401.1,88337.1,88391.5,10.820819,956158.2654707
2026-01-01 20:00:00,88391.5,88391.5,88305.9,88329.9,19.747775,1744560.4741995
2026-01-01 20:05:00,88329.9,88342.6,88325.9,88331.7,2.107348,186151.5018606
2026-01-01 20:10:00,88331.7,88354.4,88320.6,88346.4,8.895198,785748.3169015
2026-01-01 20:15:00,88346.4,88374.8,88346.4,88372.3,3.370099,297781.7091183
2026-01-01 20:20:00,88372.3,88372.4,88323.6,88337.9,4.184259,369675.7789062
2026-01-01 20:25:00,88337.9,88368.9,88337.8,88368.9,4.976752,439702.6738009
2026-01-01 20:30:00,88368.9,88373.3,88318.9,88333.8,9.130624,806600.3124121
2026-01-01 20:35:00,88333.8,88333.9,88288.0,88294.9,2.915708,257464.1683859
2026-01-01 20:40:00,88294.9,88329.9,88251.5,88260.4,13.558134,1197056.5997306
2026-01-01 20:45:00,88260.4,88295.5,88251.5,88283.2,4.194046,370198.8504691
2026-01-01 20:50:00,88283.2,88283.3,88250.8,88273.7,3.84484,339368.5106722
2026-01-01 20:55:00,88273.7,88278.2,88263.8,88263.8,1.154698,101931.8099671
2026-01-01 21:00:00,88263.8,88279.7,88263.7,88279.6,2.902627,256211.2156643
2026-01-01 21:05:00,88279.6,88327.6,88261.9,88327.6,5.602136,494629.3972176
2026-01-01 21:10:00,88327.6,88450.0,88327.5,88393.7,10.634498,940093.0125972
2026-01-01 21:15:00,88393.7,88393.8,88359.4,88372.0,5.177205,457553.1106457
2026-01-01 21:20:00,88372.0,88379.3,88354.6,88379.3,4.28911,379008.5156869
2026-01-01 21:25:00,88379.3,88408.1,88379.2,88386.9,4.34218,383839.4473202
2026-01-01 21:30:00,88386.9,88410.0,88355.0,88361.0,13.153529,1162423.0081466
2026-01-01 21:35:00,88361.0,88392.8,88361.0,88369.2,2.895784,255912.1083347
2026-01-01 21:40:00,88369.2,88394.2,88334.3,88334.3,3.777022,333780.4246098
2026-01-01 21:45:00,88334.3,88352.8,88310.1,88352.8,3.380065,298558.3324639
2026-01-01 21:50:00,88352.8,88401.1,88352.7,88386.0,4.986991,440794.2222023
2026-01-01 21:55:00,88386.0,88391.8,88383.4,88389.9,2.29851,203160.9408176
2026-01-01 22:00:00,88389.9,88454.9,88389.9,88454.9,4.469762,395273.0958097
2026-01-01 22:05:00,88454.9,88604.4,88454.9,88541.0,32.820087,2905619.74627244
2026-01-01 22:10:00,88541.0,88563.7,88483.4,88517.6,22.342593,1977889.9514545
2026-01-01 22:15:00,88517.6,88522.0,88496.7,88496.8,3.997159,353789.5497077
2026-01-01 22:20:00,88496.8,88542.6,88484.4,88531.6,5.242331,464000.8571629
2026-01-01 22:25:00,88531.6,88591.8,88531.6,88535.5,20.237102,1792440.0760803
2026-01-01 22:30:00,88535.5,88607.5,88531.1,88545.3,13.002272,1151610.6817487
2026-01-01 22:35:00,88545.3,88545.4,88433.7,88492.9,13.209295,1168620.3025434
2026-01-01 22:40:00,88492.9,88593.9,88475.1,88593.9,18.760905,1661446.8164517
2026-01-01 22:45:00,88593.9,88620.7,88544.3,88620.7,15.746635,1394942.22131394
2026-01-01 22:50:00,88620.7,88675.1,88611.5,88670.1,17.376133,1540272.00075529
2026-01-01 22:55:00,88670.1,88700.0,88647.3,88650.0,13.485391,1195895.11412954
2026-01-01 23:00:00,88650.0,88768.3,88492.1,88501.0,68.961434,6111874.90305373
2026-01-01 23:05:00,88501.0,88644.0,88477.0,88644.0,31.686719,2807046.4610768
2026-01-01 23:10:00,88644.0,88655.9,88554.5,88579.3,16.543806,1465821.4297401
2026-01-01 23:15:00,88579.3,88704.7,88579.3,88690.3,12.482943,1106589.4714162
2026-01-01 23:20:00,88690.3,88794.6,88690.3,88765.5,36.396302,3230623.33228095
2026-01-01 23:25:00,88765.5,88766.7,88714.9,88731.2,11.575453,1027206.1600454
2026-01-01 23:30:00,88731.2,88816.0,88731.2,88770.4,25.938263,2302925.0102064
2026-01-01 23:35:00,88770.4,88826.8,88770.4,88788.7,14.448104,1282918.6427564
2026-01-01 23:40:00,88788.7,88884.6,88788.7,88884.5,21.781071,1934737.18356266
2026-01-01 23:45:00,88884.5,88926.7,88754.8,88784.6,26.876767,2388552.43900636
2026-01-01 23:50:00,88784.6,88872.4,88766.8,88840.8,11.395761,1012260.9549774
2026-01-01 23:55:00,88840.8,88854.6,88825.9,88848.2,13.798216,1225865.0678409
2026-01-02 00:00:00,88848.2,88887.9,88716.3,88716.3,72.086431,6400859.5495756
2026-01-02 00:05:00,88716.3,88765.9,88601.3,88618.7,32.019694,2839463.2391046
2026-01-02 00:10:00,88618.7,88663.1,88603.1,88642.9,14.493845,1284603.9490493
2026-01-02 00:15:00,88642.9,88672.1,88592.5,88610.6,10.092344,894451.8249189
2026-01-02 00:20:00,88610.6,88728.3,88604.9,88696.2,18.204052,1614210.4382088
2026-01-02 00:25:00,88696.2,88717.3,88669.0,88715.3,9.71215,861481.7580445
2026-01-02 00:30:00,88715.3,88874.8,88715.3,88824.9,28.984906,2574933.0981058
2026-01-02 00:35:00,88824.9,88829.3,88746.8,88746.8,13.501072,1198954.9123446
2026-01-02 00:40:00,88746.8,88746.8,88648.7,88699.9,26.497137,2349852.0610615
2026-01-02 00:45:00,88699.9,88855.0,88699.9,88837.7,32.47116,2883465.3942485
2026-01-02 00:50:00,88837.7,88897.0,88765.6,88794.6,22.545223,2002987.6768532
2026-01-02 00:55:00,88794.6,88839.0,88769.9,88839.0,7.385764,655858.7032053
2026-01-02 01:00:00,88839.0,88885.3,88745.6,88770.8,17.802944,1581122.5943596
2026-01-02 01:05:00,88770.8,88816.3,88740.3,88751.7,11.069588,982702.7139266
2026-01-02 01:10:00,88751.7,88821.7,88751.6,88761.5,7.809509,693456.2546642
2026-01-02 01:15:00,88761.5,88761.5,88683.3,88718.8,9.995178,886770.458797
2026-01-02 01:20:00,88718.8,88757.7,88701.4,88701.5,14.319154,1270593.8887138
2026-01-02 01:25:00,88701.5,88728.4,88679.2,88690.1,10.007144,887705.7890165
2026-01-02 01:30:00,88690.1,88713.4,88585.2,88607.6,25.080916,2223534.5719357
2026-01-02 01:35:00,88607.6,88620.2,88502.1,88587.9,20.35135,1802295.6608795
2026-01-02 01:40:00,88587.9,88654.1,88587.9,88633.7,7.608783,674332.1013232
2026-01-02 01:45:00,88633.7,88654.1,88570.1,88629.9,6.383192,565639.6197759
2026-01-02 01:50:00,88629.9,88668.5,88629.9,88641.0,8.820839,781940.2349216
2026-01-02 01:55:00,88641.0,88647.8,88624.7,88647.7,4.222467,374275.48471
2026-01-02 02:00:00,88647.7,88674.3,88535.8,88589.5,14.401729,1275773.76467
2026-01-02 02:05:00,88589.5,88610.2,88436.7,88478.6,21.651704,1916169.66180552
2026-01-02 02:10:00,88478.6,88500.0,88473.8,88489.8,8.948117,791783.8489328
2026-01-02 02:15:00,88489.8,88511.8,88422.4,88503.5,32.921345,2912889.2664826
2026-01-02 02:20:00,88503.5,88538.7,88377.4,88422.7,17.200182,1521137.3501668
2026-01-02 02:25:00,88422.7,88457.3,88413.9,88425.4,8.704616,769786.8709461
2026-01-02 02:30:00,88425.4,88450.6,88409.3,88447.8,7.205967,637215.1647011
2026-01-02 02:35:00,88447.8,88482.1,88438.2,88461.0,5.090767,450305.8093778
2026-01-02 02:40:00,88461.0,88524.1,88450.9,88484.0,7.812065,691305.5311306
2026-01-02 02:45:00,88484.0,88555.7,88469.7,88555.6,11.25219,996167.8674855
2026-01-02 02:50:00,88555.6,88644.1,88555.6,88616.2,8.972663,794969.2660155
2026-01-02 02:55:00,88616.2,88646.2,88601.1,88641.9,6.01016,532631.7174339
2026-01-02 03:00:00,88641.9,88661.7,88571.5,88594.8,10.534017,933422.9765204
2026-01-02 03:05:00,88594.8,88816.6,88594.8,88756.0,20.468926,1816412.1001396
2026-01-02 03:10:00,88756.0,88968.8,88755.9,88963.0,26.463654,2352037.64802411
2026-01-02 03:15:00,88963.0,88983.0,88810.5,88860.5,32.182998,2861370.0345678
2026-01-02 03:20:00,88860.5,88860.6,88813.5,88820.4,18.688817,1660318.2300463
2026-01-02 03:25:00,88820.4,88910.8,88820.4,88884.3,20.167609,1792518.6535321
2026-01-02 03:30:00,88884.3,88946.2,88846.5,88852.9,16.994847,1510848.0454973
2026-01-02 03:35:00,88852.9,88986.9,88844.0,88973.2,13.538384,1203964.1663174
2026-01-02 03:40:00,88973.2,89122.1,88958.6,88970.8,67.972667,6051739.50070483
2026-01-02 03:45:00,88970.8,89094.3,88970.8,89048.2,26.04599,2318937.186077
2026-01-02 03:50:00,89048.2,89099.4,89046.9,89093.9,18.052838,1608150.8339215
2026-01-02 03:55:00,89093.9,89125.0,88860.8,88945.9,52.69982,4692224.3876056
2026-01-02 04:00:00,88945.9,88988.1,88880.0,88880.8,12.965839,1153416.7852417
2026-01-02 04:05:00,88880.8,88918.6,88813.6,88848.7,13.348352,1186318.8050934
2026-01-02 04:10:00,88848.7,88891.2,88804.6,88815.8,15.967771,1418718.1899382
