open_time,open,high,low,close,volume,turnover
2026-01-01,87643.3,88926.7,87551.7,88848.2,2739.572846,241322289.21164852
2026-01-02,88848.2,90966.2,88377.4,89991.8,9831.610268,881182745.8724916
2026-01-03,89991.8,90749.7,89306.5,90640.4,3836.512364,345338905.6110315
2026-01-04,90640.4,91806.4,90640.4,91531.2,5428.497482,495656605.4710878
2026-01-05,91531.2,94774.0,91511.1,93862.9,12264.593786,1144619798.6198986
2026-01-06,93862.9,94453.7,91272.4,93763.3,11347.60207,1057763654.0282483
2026-01-07,93763.3,93763.3,90674.1,91369.9,9962.610224,915017768.7713335
2026-01-08,91369.9,91676.6,89307.5,91104.7,10362.303884,938193350.4544101
2026-01-09,91104.7,92024.5,89696.0,90643.1,8739.642288,793466079.1945422
2026-01-10,90643.1,90834.5,90395.0,90514.7,1715.379468,155461204.71282122
2026-01-11,90514.7,91288.9,90234.0,91004.0,2911.476734,264328730.3067724
2026-01-12,91004.0,92529.22,90119.5,91295.1,8955.475699,818421086.6988333
2026-01-13,91295.1,96601.4,91046.1,95412.8,10891.382785,1016098013.3778481
2026-01-14,95412.8,97950.0,94538.1,96950.8,11778.164703,1135113750.9899318
2026-01-15,96950.8,97199.9,95125.1,95599.7,9344.822112,899301697.0975996
2026-01-16,95599.7,95855.7,94291.3,95550.6,6415.680139,611048444.6315076
2026-01-17,95550.6,95645.8,95022.6,95144.0,2107.919393,200937264.102937
2026-01-18,95144.0,95526.0,93606.1,93660.6,2997.427635,284585080.3775653
2026-01-19,93660.6,93660.6,91889.7,92631.4,6940.774134,644213713.261065
2026-01-20,92631.4,92872.0,87837.5,88423.2,12509.687566,1132159915.3867102
2026-01-21,88423.2,90590.7,87253.5,89453.9,13611.841696,1214270837.2707827
2026-01-22,89453.9,90363.2,88513.0,89557.9,9628.125655,862630309.4293109
2026-01-23,89557.9,91230.5,88559.2,89600.9,10514.572239,943328770.0052544
2026-01-24,89600.9,89936.4,89166.6,89227.7,2514.478789,225060209.59423998
2026-01-25,89227.7,89318.0,86080.7,86669.4,7306.470708,640385937.1537458
2026-01-26,86669.4,88864.4,86505.1,88345.1,10532.86365,925033523.9963607
2026-01-27,88345.1,89533.6,87300.0,89247.2,9527.896834,842137240.784686
2026-01-28,89247.2,90611.1,88844.0,89301.9,9920.563608,888017353.0452806
2026-01-29,89301.9,89350.0,83367.6,84649.6,11629.03167,1003296025.8715571
2026-01-30,84649.6,84734.0,81100.0,84260.5,15633.217798,1297822952.3082216
2026-01-31,84260.5,84285.2,75702.3,78737.7,15985.685289,1280280308.525906
2026-02-01,78737.7,79420.0,75709.0,76976.4,12270.853061,956477212.0733811
2026-02-02,76976.4,79358.3,74602.7,78738.1,16468.758497,1274425365.746979
2026-02-03,78738.1,79198.2,72954.2,75768.6,14231.880146,1091324816.4884198
2026-02-04,75768.6,76981.4,71876.9,73158.6,14200.153307,1058829826.6290238
2026-02-05,73158.6,73331.4,62286.3,62899.0,33557.220608,2265864627.6311765
2026-02-06,62899.0,71743.6,60000.0,70561.8,26773.636749,1771937752.0678139
2026-02-07,70561.8,71691.2,67339.0,69280.6,14072.828236,974180883.8224535
2026-02-08,69280.6,72268.8,68887.6,70324.1,7205.848433,507219389.1173461
2026-02-09,70324.1,71431.8,68284.0,70140.7,8506.185591,595527044.2473756
2026-02-10,70140.7,70525.9,67900.0,68844.3,7593.361393,525105484.8942085
2026-02-11,68844.3,69300.0,65744.4,67075.5,10739.688077,721889905.3704401
2026-02-12,67075.5,68428.4,65107.2,66272.7,9209.463859,615881590.7770065
2026-02-13,66272.7,69487.1,65864.9,68850.9,8014.362919,542864279.3842554
2026-02-14,68850.9,70584.9,68733.0,69826.2,6025.711541,419784813.54070276
2026-02-15,69826.2,70973.4,68073.5,68834.2,6471.373122,449286910.0290918
2026-02-16,68834.2,70121.3,67290.0,68891.7,6009.578493,411424183.94127566
2026-02-17,68891.7,69238.8,66605.4,67507.4,6876.157347,466700171.0500959
2026-02-18,67507.4,68472.3,65857.2,66460.4,7878.98708,528985078.5833077
2026-02-19,66460.4,67328.5,65616.5,67006.9,7351.260377,489877934.60421103
2026-02-20,67006.9,68318.0,66458.0,68020.4,11689.410394,788779915.1207085
2026-02-21,68020.4,68705.8,67536.1,67973.2,6570.239543,448212254.7441909
2026-02-22,67973.2,68247.4,67191.6,67640.5,6699.212777,454071703.679163
2026-02-23,67640.5,67682.9,63877.1,64643.2,17471.911665,1141907818.5581334
2026-02-24,64643.2,65004.4,62500.1,64061.3,16460.214947,1047066654.4059556
2026-02-25,64061.3,70000.9,63909.5,67983.9,24569.990428,1650895510.8031995
2026-02-26,67983.9,68855.4,66500.0,67482.8,14388.156057,975662339.6218472
2026-02-27,67482.8,68203.9,64921.9,65868.2,11643.009099,774737605.2828071
2026-02-28,65868.2,67755.3,63017.6,66970.7,13316.34979,864409537.6212001
2026-03-01,66970.7,68200.8,65036.0,65777.7,9571.400232,637713932.8046103
2026-03-02,65777.7,70100.6,65273.6,68830.8,14494.942262,981803535.5843117
2026-03-03,68830.8,69253.5,66132.0,68330.6,11996.824851,813496409.2667303
2026-03-04,68330.6,74050.0,67400.0,72668.2,16222.95686,1155247731.464542
2026-03-05,72668.2,73565.2,70647.1,70879.2,11240.605369,809439629.349487
2026-03-06,70879.2,71421.1,67744.9,68105.7,10896.075576,757230859.8944621
2026-03-07,68105.7,68544.8,66925.0,67260.6,4526.348846,306803296.92607474
2026-03-08,67260.6,68199.0,65614.2,65969.5,7267.255687,487079205.9496897
2026-03-09,65969.5,69535.4,65822.5,68423.2,12269.392832,835679324.248772
2026-03-10,68423.2,71784.2,68390.2,69944.6,12782.726097,898869010.0147451
2026-03-11,69944.6,71328.8,68974.3,70194.9,10035.513549,703748747.1607267
2026-03-12,70194.9,70800.8,69206.5,70524.7,9549.211438,669000442.3374026
2026-03-13,70524.7,73900.0,70391.5,70928.2,13877.145609,997750809.2239308
2026-03-14,70928.2,71300.0,70308.8,71211.3,4486.977978,317522555.2223132
2026-03-15,71211.3,73197.7,70856.9,72812.4,6012.568898,431567276.36397064
2026-03-16,72812.4,74922.7,72277.8,74884.2,13908.633966,1025611234.3336877
2026-03-17,74884.2,76030.0,73380.2,73906.3,12142.17454,903765670.6617863
2026-03-18,73906.3,74670.6,70495.3,71248.4,10971.012226,792976513.5998216
2026-03-19,71248.4,71622.4,68789.0,69923.3,12699.728527,889512217.7673062
2026-03-20,69923.3,71370.9,69388.9,70509.9,11106.228133,780518387.5537283
2026-03-21,70509.9,71099.6,68555.2,68919.7,4223.652447,297227689.79051954
2026-03-22,68919.7,69585.1,67350.0,67862.0,7962.983871,546265681.1156195
2026-03-23,67862.0,71811.8,67444.6,70898.7,15340.252884,1071530298.2324913
2026-03-24,70898.7,71410.4,68899.2,70561.5,12747.335791,895444679.9789213
2026-03-25,70561.5,72033.07,70416.0,71336.7,10481.86671,745875640.63338
2026-03-26,71336.7,71444.3,68150.1,68820.1,12056.474972,837285533.3886526
2026-03-27,68820.1,69175.3,65548.9,66408.2,13903.76903,930360241.4562081
2026-03-28,66408.2,67299.9,65924.5,66372.0,4841.849872,322463286.36283
2026-03-29,66372.0,67130.4,64978.5,66011.9,6460.63745,428799590.3201766
2026-03-30,66011.9,68183.2,65796.0,66795.9,12462.905142,837107790.7745157
2026-03-31,66795.9,68598.9,65989.9,68281.5,13041.526457,878664038.6799439
2026-04-01,68281.5,69335.1,67585.3,68119.0,10078.294136,689807099.1945739
